track_id,track_name,track_artist,track_popularity,track_album_release_date,playlist_name,playlist_id,danceability,energy,valence
2w4EpqGasrz9qdTwocx54t,Open Arms,Journey,72,1981,"60's, 70's, 80's love song",0UX4xBUNaotLQYLC3fvfKC,0.405,0.21,0.174
5WwqdeavrQrbeAMDxGawse,Can't Fight This Feeling,REO Speedwagon,75,1984-11-05,"60's, 70's, 80's love song",0UX4xBUNaotLQYLC3fvfKC,0.408,0.48,0.19
0vB4Vd6PtkJSEnWsmqATnZ,Nothing's Gonna Change My Love for You,George Benson,75,1985-01-15,"60's, 70's, 80's love song",0UX4xBUNaotLQYLC3fvfKC,0.553,0.614,0.345
2vEQ9zBiwbAVXzS2SOxodY,Nothing's Gonna Stop Us Now,Starship,0,1987,"60's, 70's, 80's love song",0UX4xBUNaotLQYLC3fvfKC,0.643,0.801,0.534
5TXOVsehL5dkMTQogRu2vC,The Gift (feat. Collin Raye & Susan Ashton),Jim Brickman,32,1994,"60's, 70's, 80's love song",0UX4xBUNaotLQYLC3fvfKC,0.514,0.322,0.276
1fDmIkJoVxPge6hAxwJIM9,Miss You Like Crazy,Natalie Cole,0,1989,"60's, 70's, 80's love song",0UX4xBUNaotLQYLC3fvfKC,0.596,0.546,0.255
7otvcJ8zAsoCxNnMu2ITeG,Almost Over You - 1993 Remastered Version,Sheena Easton,52,1993-06-07,"60's, 70's, 80's love song",0UX4xBUNaotLQYLC3fvfKC,0.327,0.292,0.278
56ilrbKJF2bph5W6eZaM5E,Longer,Dan Fogelberg,64,1979-11,"60's, 70's, 80's love song",0UX4xBUNaotLQYLC3fvfKC,0.308,0.0427,0.383
7I8SSkFZDYXbHcH1l1J7WF,Destiny (feat. Jordan Hill & Billy Porter),Jim Brickman,37,1994,"60's, 70's, 80's love song",0UX4xBUNaotLQYLC3fvfKC,0.595,0.511,0.272
6qB7YcFpeBEQa0D6QO482y,"It Must Have Been Love - From the Film ""Pretty Woman""",Roxette,66,1995-10-23,"60's, 70's, 80's love song",0UX4xBUNaotLQYLC3fvfKC,0.52,0.652,0.722
6PMDILZiYo4YzMBbE0dGK9,Lost in Your Eyes,Debbie Gibson,68,1989-01-10,"60's, 70's, 80's love song",0UX4xBUNaotLQYLC3fvfKC,0.512,0.588,0.242
7prFpeH9fXA7cL6ZZWLePs,The Actor,Michael Learns To Rock,51,1991,"60's, 70's, 80's love song",0UX4xBUNaotLQYLC3fvfKC,0.701,0.569,0.523
6zWSB11sqCRMTAuWYkccCt,If Ever You're in My Arms Again,Peabo Bryson,63,1984,"60's, 70's, 80's love song",0UX4xBUNaotLQYLC3fvfKC,0.581,0.576,0.327
7azxfDmP972DZmgfpDFEme,Your Love,Jim Brickman,20,1994,"60's, 70's, 80's love song",0UX4xBUNaotLQYLC3fvfKC,0.592,0.424,0.224
